iter	Passed	Remaining
186	234	1021
187	235	1018
188	236	1014
189	237	1010
190	237	1006
191	238	1003
192	238	999
193	239	994
194	239	990
195	240	986
196	240	981
197	241	977
198	241	973
199	242	969
200	242	965
201	243	960
202	243	956
203	244	952
204	244	949
205	245	944
206	245	941
207	246	937
208	246	934
209	247	930
210	247	926
211	248	923
212	248	919
213	249	915
214	250	913
215	250	910
216	251	907
217	252	904
218	252	901
219	253	897
220	253	894
221	254	891
222	254	887
223	255	884
224	255	881
225	256	878
226	256	874
227	257	871
228	257	868
229	258	864
230	258	861
231	259	858
232	259	855
233	260	851
234	260	848
235	261	845
236	261	842
237	262	839
238	262	836
239	263	833
240	263	830
241	264	827
242	264	824
243	265	822
244	266	820
245	266	817
246	267	815
247	268	813
248	268	811
249	269	808
250	270	806
251	270	803
252	271	800
253	271	797
254	272	794
255	272	792
256	273	789
257	273	786
258	273	783
259	274	781
260	275	778
261	275	776
262	276	773
263	276	770
264	276	768
265	277	765
266	277	762
267	278	760
268	279	759
269	280	758
270	281	756
271	281	754
272	282	752
273	283	750
274	283	748
275	284	746
276	285	744
277	285	741
278	286	739
279	286	737
280	287	735
281	287	732
282	288	730
283	288	727
284	289	725
285	289	723
286	290	721
287	290	718
288	291	716
289	291	714
290	292	712
291	292	710
292	293	708
293	293	705
294	294	703
295	295	702
296	296	700
297	296	698
298	297	696
299	297	695
300	298	693
301	299	691
302	299	689
303	300	687
304	300	685
305	301	683
306	301	681
307	302	679
308	302	677
309	303	675
310	303	673
311	304	670
312	304	668
313	305	666
314	305	664
315	306	662
316	306	660
317	307	658
318	307	656
319	308	654
320	308	652
321	308	650
322	309	648
323	310	648
324	311	646
325	312	645
326	312	643
327	313	642
328	313	640
329	314	638
330	315	636
331	315	634
332	316	633
333	316	631
334	316	629
335	317	627
336	317	625
337	318	623
338	319	622
339	319	620
340	320	618
341	320	616
342	321	614
343	321	613
344	322	611
345	322	609
346	322	607
347	323	605
348	323	604
349	324	602
350	325	601
351	326	600
352	326	598
353	327	597
354	327	595
355	328	594
356	328	592
357	329	590
358	329	589
359	330	587
360	331	586
361	331	584
362	332	582
363	332	581
364	333	579
365	333	577
366	334	576
367	334	574
368	335	572
369	335	571
370	336	569
371	336	568
372	337	566
373	337	565
374	338	563
375	338	562
376	339	560
377	340	559
378	340	558
379	341	557
380	341	555
381	342	554
382	342	552
383	343	551
384	344	549
385	344	548
386	345	546
387	345	545
388	346	544
389	346	542
390	347	541
391	348	539
392	348	538
393	349	537
394	349	535
395	350	534
396	350	533
397	351	531
398	352	530
399	352	529
400	353	527
401	353	526
402	354	524
403	355	524
404	356	523
405	356	521
406	357	520
407	357	518
408	358	517
409	358	516
410	359	514
411	359	513
412	360	511
413	360	510
414	361	508
415	361	507
416	362	506
417	362	504
418	363	503
419	363	502
420	364	501
421	364	499
422	365	498
423	366	497
424	366	496
425	367	494
426	367	493
427	368	492
428	369	491
429	370	490
430	370	489
431	371	488
432	372	487
433	372	486
434	373	485
435	374	484
436	374	482
437	375	481
438	375	480
439	376	479
440	377	478
441	378	477
442	378	476
443	379	474
444	379	473
445	380	472
446	381	471
447	381	470
448	382	469
449	382	467
450	383	466
451	383	465
452	384	464
453	385	463
454	385	462
455	386	461
456	387	460
457	387	459
458	388	457
459	389	456
460	389	455
461	390	454
462	390	453
463	391	451
464	391	450
465	392	449
466	392	448
467	393	446
468	393	445
469	394	444
470	394	443
471	395	442
472	395	440
473	396	439
474	396	438
475	397	437
476	397	436
477	398	434
478	399	433
479	399	433
480	400	432
481	401	431
482	401	430
483	402	429
484	403	428
485	403	426
486	404	425
487	404	424
488	405	423
489	405	422
490	406	421
491	406	419
492	407	418
493	407	417
494	408	416
495	408	415
496	409	413
497	409	412
498	409	411
499	410	410
500	410	409
501	411	408
502	411	406
503	412	405
504	413	404
505	413	403
506	414	403
507	415	402
508	415	401
509	416	400
510	417	399
511	418	398
512	418	397
513	419	396
514	419	395
515	420	394
516	420	393
517	421	392
518	421	391
519	422	389
520	422	388
521	423	387
522	423	386
523	424	385
524	424	384
525	425	383
526	425	382
527	426	381
528	426	380
529	427	378
530	427	377
531	428	376
532	428	375
533	429	374
534	430	373
535	430	372
536	431	371
537	432	371
538	432	369
539	433	368
540	433	367
541	434	366
542	434	365
543	435	364
544	435	363
545	436	362
546	436	361
547	437	360
548	437	359
549	438	358
550	438	357
551	439	356
552	439	355
553	440	354
554	440	353
555	441	352
556	441	351
557	441	350
558	442	349
559	442	347
560	443	346
561	444	346
562	445	345
563	445	344
564	446	343
565	446	342
566	447	341
567	447	340
568	448	339
569	449	338
570	449	337
571	450	336
572	450	335
573	451	334
574	451	333
575	451	332
576	452	331
577	452	330
578	453	329
579	453	328
580	454	327
581	454	326
582	455	325
583	455	324
584	456	323
585	456	322
586	457	321
587	457	320
588	457	319
589	458	318
590	459	317
591	459	316
592	460	316
593	461	315
594	461	314
595	463	313
596	463	312
597	464	312
598	464	311
599	465	310
600	465	309
601	466	308
602	466	307
603	466	306
604	467	305
605	467	304
606	468	303
607	468	302
608	469	301
609	469	300
610	470	299
611	470	298
612	471	297
613	471	296
614	472	295
615	472	294
616	473	293
617	474	293
618	475	292
619	475	291
620	476	290
621	476	289
622	477	288
623	477	287
624	478	287
625	478	286
626	479	285
627	479	284
628	480	283
629	480	282
630	481	281
631	481	280
632	482	279
633	482	278
634	483	277
635	483	276
636	484	275
637	484	275
638	485	274
639	485	273
640	486	272
641	486	271
642	487	270
643	487	269
644	488	268
645	488	267
646	489	267
647	490	266
648	491	265
649	491	264
650	492	263
651	492	262
652	493	262
653	493	261
654	494	260
655	495	259
656	495	258
657	496	257
658	496	257
659	497	256
660	498	255
661	498	254
662	499	253
663	499	252
664	500	252
665	500	251
666	501	250
667	502	249
668	502	248
669	503	247
670	504	247
671	505	246
672	505	245
673	506	244
674	507	244
675	507	243
676	508	242
677	508	241
678	509	240
679	510	240
680	510	239
681	511	238
682	512	237
683	512	236
684	513	235
685	513	235
686	514	234
687	514	233
688	515	232
689	516	231
690	516	231
691	517	230
692	517	229
693	518	228
694	519	228
695	520	227
696	521	226
697	521	225
698	522	224
699	522	224
700	523	223
701	524	222
702	524	221
703	525	220
704	525	220
705	526	219
706	526	218
707	527	217
708	527	216
709	528	215
710	528	214
711	529	214
712	529	213
713	530	212
714	530	211
715	531	210
716	531	209
717	532	208
718	532	208
719	533	207
720	534	206
721	535	206
722	535	205
723	536	204
724	537	203
725	537	203
726	538	202
727	538	201
728	539	200
729	539	199
730	540	198
731	540	198
732	541	197
733	541	196
734	542	195
735	542	194
736	543	193
737	543	193
738	544	192
739	545	191
740	545	190
741	545	189
742	546	189
743	546	188
744	547	187
745	548	186
746	549	186
747	549	185
748	550	184
749	551	183
750	551	182
751	552	182
752	553	181
753	554	180
754	554	179
755	555	179
756	555	178
757	556	177
758	556	176
759	557	175
760	557	175
761	558	174
762	558	173
763	559	172
764	559	171
765	560	171
766	560	170
767	561	169
768	561	168
769	562	167
770	562	167
771	563	166
772	564	165
773	564	164
774	565	164
775	565	163
776	567	162
777	567	162
778	568	161
779	569	160
780	569	159
781	570	158
782	570	158
783	571	157
784	571	156
785	572	155
786	572	154
787	573	154
788	573	153
789	574	152
790	574	151
791	575	151
792	575	150
793	576	149
794	576	148
795	577	147
796	578	147
797	579	146
798	579	145
799	580	145
800	580	144
801	581	143
802	581	142
803	582	141
804	582	141
805	583	140
806	583	139
807	584	138
808	584	138
809	585	137
810	585	136
811	586	135
812	586	134
813	587	134
814	587	133
815	588	132
816	588	131
817	588	131
818	589	130
819	589	129
820	590	128
821	590	127
822	591	127
823	591	126
824	592	125
825	592	124
826	593	124
827	594	123
828	595	122
829	595	122
830	596	121
831	597	120
832	598	119
833	598	119
834	599	118
835	600	117
836	600	116
837	601	116
838	601	115
839	601	114
840	602	113
841	603	113
842	603	112
843	604	111
844	604	110
845	605	110
846	606	109
847	606	108
848	607	108
849	608	107
850	609	106
851	610	106
852	611	105
853	612	104
854	612	103
855	613	103
856	614	102
857	615	101
858	615	101
859	616	100
860	616	99
861	617	98
862	618	98
863	618	97
864	619	96
865	620	95
866	620	95
867	621	94
868	622	93
869	623	93
870	624	92
871	625	91
872	626	91
873	626	90
874	627	89
875	627	88
876	628	88
877	628	87
878	629	86
879	629	85
880	630	85
881	630	84
882	631	83
883	632	82
884	632	82
885	633	81
886	633	80
887	634	80
888	634	79
889	635	78
890	635	77
891	636	77
892	636	76
893	637	75
894	638	74
895	639	74
896	639	73
897	640	72
898	640	71
899	641	71
900	642	70
901	642	69
902	643	69
903	644	68
904	644	67
905	645	66
906	645	66
907	646	65
908	646	64
909	647	64
910	647	63
911	648	62
912	648	61
913	649	61
914	649	60
915	650	59
916	650	58
917	651	58
918	651	57
919	652	56
920	653	56
921	653	55
922	654	54
923	655	53
924	655	53
925	656	52
926	656	51
927	657	50
928	657	50
929	658	49
930	658	48
931	659	48
932	659	47
933	660	46
934	660	45
935	661	45
936	661	44
937	662	43
938	662	43
939	663	42
940	663	41
941	664	40
942	664	40
943	664	39
944	665	38
945	665	38
946	666	37
947	666	36
948	667	35
949	669	35
950	670	34
951	671	33
952	671	33
953	672	32
954	672	31
955	673	30
956	673	30
957	673	29
958	674	28
959	674	28
960	675	27
961	675	26
962	676	25
963	677	25
964	677	24
965	677	23
966	678	23
967	678	22
968	679	21
969	679	21
970	680	20
971	680	19
972	681	18
973	681	18
974	682	17
975	682	16
976	683	16
977	684	15
978	685	14
979	685	13
980	686	13
981	686	12
982	687	11
983	687	11
984	688	10
985	688	9
986	689	9
987	689	8
988	690	7
989	690	6
990	691	6
991	691	5
992	692	4
993	692	4
994	692	3
995	693	2
996	693	2
997	694	1
998	694	0
999	695	0
